value,text
1381,Agar
4204,Akodiya
10509,Akodiya(F&V)
2729,Badod
3050,Berachha
10528,Bercha(F&V)
2447,Kalapipal
10566,Kalapipal(F&V)
2712,Maksi
10591,Maksi(F&V)
2718,Momanbadodiya
10599,Momanbadodiya(F&V)
2458,Nalkehda
2440,Shajapur
3885,Shajapur(F&V)
1128,Shujalpur
10635,Shujalpur(F&V)
4210,Soyatkalan
2723,Susner
10508,Agar(F&V)
10518,Badod(F&V)
10603,Nalkheda(F&V)
10641,Soyatkalan(F&V)
10642,Susner(F&V)
3135,Bagli
182,Dewas
3881,Dewas(F&V)
2721,Haatpipliya
10554,Hatpiplya(F&V)
2445,Kannod
10567,Kannod(F&V)
1378,Khategaon
10576,Khategaon(F&V)
2695,Loharda
10586,Loharda(F&V)
10639,Sonkachh(F&V)
1379,Sonkatch
2457,Gautampura
10549,Gautampura(F&V)
3873,Indore
187,Indore(F&V)
819,Mhow
10597,Mhow(F&V)
2417,Sanwer
10626,Sanwer(F&V)
3134,Javad
10558,Jawad(F&V)
2455,Manasa
10593,Manasa(F&V)
190,Neemuch
10606,Neemuch(F&V)
1834,Biaora
10533,Biaora(F&V)
2726,Chhapiheda
2448,Jeerapur
10562,Jirapur(F&V)
2702,Khilchipur
2724,Khujner
10579,Khujner(F&V)
2698,Kurawar
3047,Machalpur
10587,Machalpur(F&V)
2429,Narsinghgarh
10604,Narsinghgarh(F&V)
2428,Pachaur
10609,Pachaur(F&V)
2709,Sarangpur
10627,Sarangpur(F&V)
3059,Suthalia
2425,Badnagar
10517,Badnagar(F&V)
10572,Khaachrod(F&V)
2708,Khachrod
1376,Mahidpur
10589,Mahidpur(F&V)
2463,Nagda
10602,Nagda(F&V)
1377,Tarana
10645,Tarana(F&V)
197,Ujjain
3880,Ujjain(F&V)
2717,Unhel
10649,Unhel(F&V)
